=== ScanTicket V1 — Populate Embeddings ===
Modele: https://api.fireworks.ai/inference/v1/
Force re-embed: False

Dossiers a embedder: 25904
  [18800/25904] 43.3 docs/s | 2993358 tokens
  [18850/25904] 43.3 docs/s | 3001851 tokens
  [18900/25904] 43.3 docs/s | 3011243 tokens
  [18950/25904] 43.3 docs/s | 3020505 tokens
  [19000/25904] 43.3 docs/s | 3028832 tokens
  [19050/25904] 43.3 docs/s | 3037559 tokens
  [19100/25904] 43.3 docs/s | 3046262 tokens
  [19150/25904] 43.4 docs/s | 3054622 tokens
  [19200/25904] 43.3 docs/s | 3063538 tokens
  [19250/25904] 43.3 docs/s | 3072763 tokens
  [19300/25904] 43.3 docs/s | 3081684 tokens
  [19350/25904] 43.3 docs/s | 3090325 tokens
  [19400/25904] 43.3 docs/s | 3098802 tokens
  [19450/25904] 43.3 docs/s | 3107109 tokens
  [19500/25904] 43.3 docs/s | 3116051 tokens
  [19550/25904] 43.3 docs/s | 3124795 tokens
  [19600/25904] 43.3 docs/s | 3133880 tokens
  [19650/25904] 43.3 docs/s | 3142844 tokens
  [19700/25904] 43.3 docs/s | 3152157 tokens
  [19750/25904] 43.3 docs/s | 3161070 tokens
  [19800/25904] 43.3 docs/s | 3169906 tokens
  [19850/25904] 43.3 docs/s | 3178358 tokens
  [19900/25904] 43.3 docs/s | 3187583 tokens
  [19950/25904] 43.3 docs/s | 3196367 tokens
  [20000/25904] 43.3 docs/s | 3205275 tokens
  [20050/25904] 43.3 docs/s | 3213139 tokens
  [20100/25904] 43.3 docs/s | 3221372 tokens
  [20150/25904] 43.3 docs/s | 3229899 tokens
  [20200/25904] 43.3 docs/s | 3238281 tokens
  [20250/25904] 43.3 docs/s | 3246527 tokens
  [20300/25904] 43.3 docs/s | 3254822 tokens
  [20350/25904] 43.3 docs/s | 3263435 tokens
  [20400/25904] 43.3 docs/s | 3271422 tokens
  [20450/25904] 43.3 docs/s | 3279830 tokens
  [20500/25904] 43.3 docs/s | 3288690 tokens
  [20550/25904] 43.3 docs/s | 3297072 tokens
  [20600/25904] 43.3 docs/s | 3305857 tokens
  [20650/25904] 43.3 docs/s | 3314243 tokens
  [20700/25904] 43.3 docs/s | 3323268 tokens
  [20750/25904] 43.3 docs/s | 3331997 tokens
  [20800/25904] 43.3 docs/s | 3340632 tokens
  [20850/25904] 43.3 docs/s | 3349672 tokens
  [20900/25904] 43.3 docs/s | 3358579 tokens
  [20950/25904] 43.3 docs/s | 3367661 tokens
  [21000/25904] 43.3 docs/s | 3376588 tokens
  [21050/25904] 43.3 docs/s | 3385234 tokens
  [21100/25904] 43.3 docs/s | 3393526 tokens
  [21150/25904] 43.3 docs/s | 3401846 tokens
  [21200/25904] 43.3 docs/s | 3410693 tokens
  [21250/25904] 43.3 docs/s | 3418106 tokens
  [21300/25904] 43.3 docs/s | 3423065 tokens
  [21350/25904] 43.3 docs/s | 3427979 tokens
  [21400/25904] 43.3 docs/s | 3432798 tokens
  [21450/25904] 43.3 docs/s | 3437967 tokens
  [21500/25904] 43.3 docs/s | 3443205 tokens
  [21550/25904] 43.3 docs/s | 3448359 tokens
  [21600/25904] 43.4 docs/s | 3454169 tokens
  [21650/25904] 43.4 docs/s | 3458748 tokens
  [21700/25904] 43.4 docs/s | 3463351 tokens
  [21750/25904] 43.4 docs/s | 3468076 tokens
  [21800/25904] 43.4 docs/s | 3472839 tokens
  [21850/25904] 43.4 docs/s | 3477544 tokens
  [21900/25904] 43.4 docs/s | 3482250 tokens
  [21950/25904] 43.4 docs/s | 3487172 tokens
  [22000/25904] 43.4 docs/s | 3493433 tokens
  [22050/25904] 43.4 docs/s | 3501282 tokens
  [22100/25904] 43.4 docs/s | 3509524 tokens
  [22150/25904] 43.4 docs/s | 3516672 tokens
  [22200/25904] 43.4 docs/s | 3523532 tokens
  [22250/25904] 43.4 docs/s | 3531094 tokens
  [22300/25904] 43.4 docs/s | 3537799 tokens
  [22350/25904] 43.4 docs/s | 3545139 tokens
  [22400/25904] 43.4 docs/s | 3552645 tokens
  [22450/25904] 43.5 docs/s | 3560441 tokens
  [22500/25904] 43.5 docs/s | 3567628 tokens
  [22550/25904] 43.5 docs/s | 3574882 tokens
  [22600/25904] 43.4 docs/s | 3582445 tokens
  [22650/25904] 43.5 docs/s | 3589130 tokens
  [22700/25904] 43.5 docs/s | 3596641 tokens
  [22750/25904] 43.5 docs/s | 3604361 tokens
  [22800/25904] 43.5 docs/s | 3612840 tokens
  [22850/25904] 43.5 docs/s | 3620226 tokens
  [22900/25904] 43.5 docs/s | 3627918 tokens
  [22950/25904] 43.5 docs/s | 3636028 tokens
  [23000/25904] 43.4 docs/s | 3643419 tokens
  [23050/25904] 43.4 docs/s | 3650820 tokens
  [23100/25904] 43.5 docs/s | 3657500 tokens
  [23150/25904] 43.5 docs/s | 3665124 tokens
  [23200/25904] 43.5 docs/s | 3672903 tokens
  [23250/25904] 43.5 docs/s | 3680437 tokens
  [23300/25904] 43.5 docs/s | 3687073 tokens
  [23350/25904] 43.5 docs/s | 3693975 tokens
  [23400/25904] 43.5 docs/s | 3701174 tokens
  [23450/25904] 43.5 docs/s | 3708513 tokens
  [23500/25904] 43.5 docs/s | 3715185 tokens
  [23550/25904] 43.5 docs/s | 3721975 tokens
  [23600/25904] 43.5 docs/s | 3728836 tokens
  [23650/25904] 43.5 docs/s | 3735594 tokens
  [23700/25904] 43.5 docs/s | 3742941 tokens
  [23750/25904] 43.5 docs/s | 3750259 tokens
  [23800/25904] 43.5 docs/s | 3757040 tokens
  [23850/25904] 43.5 docs/s | 3765025 tokens
  [23900/25904] 43.5 docs/s | 3772713 tokens
  [23950/25904] 43.6 docs/s | 3780021 tokens
  [24000/25904] 43.6 docs/s | 3786417 tokens
  [24050/25904] 43.6 docs/s | 3792940 tokens
  [24100/25904] 43.6 docs/s | 3800337 tokens
  [24150/25904] 43.6 docs/s | 3807053 tokens
  [24200/25904] 43.6 docs/s | 3813185 tokens
  [24250/25904] 43.6 docs/s | 3819706 tokens
  [24300/25904] 43.5 docs/s | 3826954 tokens
  [24350/25904] 43.5 docs/s | 3834147 tokens
  [24400/25904] 43.6 docs/s | 3842124 tokens
  [24450/25904] 43.6 docs/s | 3849857 tokens
  [24500/25904] 43.6 docs/s | 3857129 tokens
  [24550/25904] 43.6 docs/s | 3865210 tokens
  [24600/25904] 43.6 docs/s | 3867826 tokens
  [24650/25904] 43.6 docs/s | 3869527 tokens
  [24700/25904] 43.6 docs/s | 3896489 tokens
  [24750/25904] 43.5 docs/s | 3925797 tokens
  [24800/25904] 43.5 docs/s | 3954492 tokens
  [24850/25904] 43.5 docs/s | 3983209 tokens
  [24900/25904] 43.5 docs/s | 4012478 tokens
  [24950/25904] 43.4 docs/s | 4041517 tokens
  [25000/25904] 43.4 docs/s | 4070168 tokens
  [25050/25904] 43.4 docs/s | 4099524 tokens
  [25100/25904] 43.4 docs/s | 4127606 tokens
  [25150/25904] 43.3 docs/s | 4156306 tokens
  [25200/25904] 43.3 docs/s | 4185857 tokens
  [25250/25904] 43.3 docs/s | 4214845 tokens
  [25300/25904] 43.2 docs/s | 4243331 tokens
  [25350/25904] 43.2 docs/s | 4276258 tokens
  [25400/25904] 43.2 docs/s | 4305328 tokens
  [25450/25904] 43.2 docs/s | 4332927 tokens
  [25500/25904] 43.2 docs/s | 4335178 tokens
  [25550/25904] 43.2 docs/s | 4337484 tokens
